verse	token	lemma	pos
HEB 13.1	'[''ἡ'', ''φιλαδελφία'', ''μενέτω'']'	'[''ὁ'', ''φιλαδελφία'', ''μένω'']'	'[''DET'', ''NOUN'', ''VERB'']'
HEB 13.2	'[''τῆς'', ''φιλοξενίας'', ''μὴ'', ''ἐπιλανθάνεσθε'', ''διὰ'', ''ταύτης'', ''γὰρ'', ''ἔλαθόν'', ''τινες'', ''ξενίσαντες'', ''ἀγγέλους'']'	'[''ὁ'', ''φιλοξενία'', ''μή'', ''ἐπιλανθάνω'', ''διά'', ''οὗτος'', ''γάρ'', ''λανθάνω'', ''τίς'', ''ξενίζω'', ''ἄγγελος'']'	'[''DET'', ''NOUN'', ''ADV'', ''VERB'', ''PREP'', ''ADJ'', ''ADV'', ''VERB'', ''ADJ'', ''VERB'', ''NOUN'']'
HEB 13.3	'[''μιμνῄσκεσθε'', ''τῶν'', ''δεσμίων'', ''ὡς'', ''συνδεδεμένοι'', ''τῶν'', ''κακουχουμένων'', ''ὡς'', ''καὶ'', ''αὐτοὶ'', ''ὄντες'', ''ἐν'', ''σώματι'']'	'[''μιμνῄσκω'', ''ὁ'', ''δεσμίον'', ''ὡς'', ''συνδέομαι'', ''ὁ'', ''κακουχόω'', ''ὡς'', ''καί'', ''αὐτός'', ''εἰμί'', ''ἐν'', ''σῶμα'']'	'[''VERB'', ''DET'', ''NOUN'', ''ADV'', ''VERB'', ''DET'', ''VERB'', ''ADV'', ''ADV'', ''ADJ'', ''VERB'', ''PREP'', ''NOUN'']'
HEB 13.4	'[''τίμιος'', ''ὁ'', ''γάμος'', ''ἐν'', ''πᾶσιν'', ''καὶ'', ''ἡ'', ''κοίτη'', ''ἀμίαντος'', ''πόρνους'', ''γὰρ'', ''καὶ'', ''μοιχοὺς'', ''κρινεῖ'', ''ὁ'', ''θεός'']'	'[''τίμιος'', ''ὁ'', ''γάμος'', ''ἐν'', ''πᾶς'', ''καί'', ''ὁ'', ''κοίτη'', ''ἀμίαντος'', ''πόρνοος'', ''γάρ'', ''καί'', ''μοιχός'', ''κρίνω'', ''ὁ'', ''θεός'']'	'[''ADJ'', ''DET'', ''NOUN'', ''PREP'', ''ADJ'', ''CON'', ''DET'', ''NOUN'', ''ADJ'', ''NOUN'', ''ADV'', ''CON'', ''NOUN'', ''VERB'', ''DET'', ''NOUN'']'
HEB 13.5	'[''ἀφιλάργυρος'', ''ὁ'', ''τρόπος'', ''ἀρκούμενοι'', ''τοῖς'', ''παροῦσιν'', ''αὐτὸς'', ''γὰρ'', ''εἴρηκεν'', ''οὐ'', ''μή'', ''σε'', ''ἀνῶ'', ''οὐδ'', ''οὐ'', ''μή'', ''σε'', ''ἐγκαταλίπω'']'	'[''ἀφιλάργυρος'', ''ὁ'', ''τρόπος'', ''ἀρκέω'', ''ὁ'', ''πάρειμι'', ''αὐτός'', ''γάρ'', ''λέγω'', ''οὐ'', ''μή'', ''σύ'', ''ἀνέω'', ''οὐδ'', ''οὐ'', ''μή'', ''σύ'', ''ἐγκαταλίπω'']'	'[''ADJ'', ''DET'', ''NOUN'', ''VERB'', ''DET'', ''VERB'', ''PRON'', ''ADV'', ''VERB'', ''ADV'', ''ADV'', ''PRON'', ''ADV'', ''CON'', ''ADV'', ''ADV'', ''PRON'', ''VERB'']'
HEB 13.6	'[''ὥστε'', ''θαρροῦντας'', ''ἡμᾶς'', ''λέγειν'', ''κύριος'', ''ἐμοὶ'', ''βοηθός'', ''οὐ'', ''φοβηθήσομαι'', ''τί'', ''ποιήσει'', ''μοι'', ''ἄνθρωπος'']'	'[''ὥστε'', ''θαρσέω'', ''ἡμεῖς'', ''λέγω'', ''κύριος'', ''ἐγώ'', ''βοηθός'', ''οὐ'', ''φοβμεω'', ''τίς'', ''ποιέω'', ''ἐγώ'', ''ἄνθρωπος'']'	'[''ADV'', ''VERB'', ''PRON'', ''VERB'', ''NOUN'', ''PRON'', ''NOUN'', ''ADV'', ''VERB'', ''PRON'', ''VERB'', ''PRON'', ''NOUN'']'
HEB 13.7	'[''μνημονεύετε'', ''τῶν'', ''ἡγουμένων'', ''ὑμῶν'', ''οἵτινες'', ''ἐλάλησαν'', ''ὑμῖν'', ''τὸν'', ''λόγον'', ''τοῦ'', ''θεοῦ'', ''ὧν'', ''ἀναθεωροῦντες'', ''τὴν'', ''ἔκβασιν'', ''τῆς'', ''ἀναστροφῆς'', ''μιμεῖσθε'', ''τὴν'', ''πίστιν'']'	'[''μνημονεύω'', ''ὁ'', ''ἡγέομαι'', ''ὑμεῖς'', ''ὅστις'', ''λαλέω'', ''ὑμεῖς'', ''ὁ'', ''λόγος'', ''ὁ'', ''θεός'', ''ὅς'', ''ἀναθεωρέω'', ''ὁ'', ''ἔκβασις'', ''ὁ'', ''ἀναστροφή'', ''μιμεμαῖ'', ''ὁ'', ''πίστις'']'	'[''VERB'', ''DET'', ''VERB'', ''PRON'', ''PRON'', ''VERB'', ''PRON'', ''DET'', ''NOUN'', ''DET'', ''NOUN'', ''PRON'', ''VERB'', ''DET'', ''NOUN'', ''DET'', ''NOUN'', ''VERB'', ''DET'', ''NOUN'']'
HEB 13.8	'[''ἰησοῦς'', ''χριστὸς'', ''ἐχθὲς'', ''καὶ'', ''σήμερον'', ''ὁ'', ''αὐτός'', ''καὶ'', ''εἰς'', ''τοὺς'', ''αἰῶνας'']'	'[''ἰησοῦς'', ''χριστός'', ''ἐχθές'', ''καί'', ''σήμερον'', ''ὁ'', ''αὐτός'', ''καί'', ''εἰς'', ''ὁ'', ''αἰών'']'	'[''PROPN'', ''PROPN'', ''ADV'', ''CON'', ''ADV'', ''DET'', ''ADJ'', ''CON'', ''PREP'', ''DET'', ''NOUN'']'
HEB 13.9	'[''διδαχαῖς'', ''ποικίλαις'', ''καὶ'', ''ξέναις'', ''μὴ'', ''παραφέρεσθε'', ''καλὸν'', ''γὰρ'', ''χάριτι'', ''βεβαιοῦσθαι'', ''τὴν'', ''καρδίαν'', ''οὐ'', ''βρώμασιν'', ''ἐν'', ''οἷς'', ''οὐκ'', ''ὠφελήθησαν'', ''οἱ'', ''περιπατοῦντες'']'	'[''διδαχή'', ''ποικίλος'', ''καί'', ''ξένος'', ''μή'', ''παραφέρω'', ''καλός'', ''γάρ'', ''χάρις'', ''βεβαιόω'', ''ὁ'', ''καρδία'', ''οὐ'', ''βρῶμα'', ''ἐν'', ''ὅς'', ''οὐ'', ''ὠφελέω'', ''ὁ'', ''περιπατέω'']'	'[''NOUN'', ''ADJ'', ''CON'', ''ADJ'', ''ADV'', ''VERB'', ''ADJ'', ''ADV'', ''NOUN'', ''VERB'', ''DET'', ''NOUN'', ''ADV'', ''NOUN'', ''PREP'', ''PRON'', ''ADV'', ''VERB'', ''DET'', ''VERB'']'
HEB 13.10	'[''ἔχομεν'', ''θυσιαστήριον'', ''ἐξ'', ''οὗ'', ''φαγεῖν'', ''οὐκ'', ''ἔχουσιν'', ''ἐξουσίαν'', ''οἱ'', ''τῇ'', ''σκηνῇ'', ''λατρεύοντες'']'	'[''ἔχω'', ''θυσιαστήριον'', ''ἐκ'', ''ὅς'', ''ἐσθίω'', ''οὐ'', ''ἔχω'', ''ἐξουσία'', ''ὁ'', ''ὁ'', ''σκηνή'', ''λατρεύω'']'	'[''VERB'', ''NOUN'', ''PREP'', ''PRON'', ''VERB'', ''ADV'', ''VERB'', ''NOUN'', ''DET'', ''DET'', ''NOUN'', ''VERB'']'
